"V1" "V2" "V3"
"84" 1530.12703205545 1907.60571499411 2738.22889976566
"85" 1525.59766946817 1901.95750192883 2731.32419028223
"86" 1522.75276399488 1898.83779737176 2728.84355225582
"87" 1513.1071536719 1889.2222276436 2720.44307847164
"88" 1509.69521584511 1886.94508741918 2721.31241571062
"89" 1517.19782161004 1895.49698452489 2732.05953899312
"90" 1520.68852261269 1898.69614526958 2734.2696009812
"91" 1509.09982133637 1886.69183445139 2721.47888958246
"92" 1515.45270588051 1894.41282561028 2732.12908175083
"93" 1511.14765416856 1890.00064526641 2726.43031513463
"94" 1508.57611220621 1888.00649864719 2724.71035353326
"95" 1506.8551999302 1887.04136234956 2724.9291531825
"96" 1513.92523341939 1894.80854924641 2733.56457490251
"97" 1520.03756925404 1900.49794933934 2737.5557383419
"98" 1517.78205946228 1897.33498617925 2732.25170094818
"99" 1517.11071649398 1896.48896503588 2731.3417722242
"100" 1511.04915449119 1890.31209887409 2724.95466388357
"101" 1508.49356407889 1888.38177309509 2724.11518963668
"102" 1514.44268955023 1894.96919515644 2731.80173391051
"103" 1515.70512107719 1895.84128053756 2731.75961301604
"104" 1512.08418651081 1891.94791196361 2727.59584792112
"105" 1514.876338538 1895.09708953567 2731.69436018785
"106" 1514.70264922511 1894.71232650099 2730.49227201275
"107" 1514.66091010891 1894.5783044614 2729.90324536531
"108" 1512.5674058821 1892.44409094472 2727.84289979689
"109" 1512.75049572916 1892.85451303283 2728.89630677979
"110" 1508.22258306679 1888.41656016436 2724.53975818945
"111" 1504.35657904651 1885.20735720494 2722.50072258543
"112" 1499.78250691113 1881.53460280753 2720.29639544963
"113" 1505.52830933486 1888.45316649251 2728.90439875667
"114" 1510.27141064143 1893.22580389189 2732.78912063937
"115" 1509.4654266838 1891.99637964722 2730.16720236445
"116" 1503.21883953068 1885.73919149063 2723.75511495602
"117" 1500.73852827247 1884.05999862898 2723.27290243434
"118" 1508.56937498428 1892.62615373344 2732.37239123374
"119" 1504.19859062577 1887.67876648665 2725.49714981642
"120" 1508.05472864097 1891.9178919831 2730.70243099203
"121" 1508.23162065167 1891.82123375721 2730.08025718124
"122" 1503.80393958376 1887.2120857781 2724.80044160855
"123" 1504.80606092939 1888.70259337921 2727.10001276144
"124" 1505.91527615834 1889.90929349843 2728.27786178896
"125" 1509.58859471014 1893.51171859087 2731.61478977124
"126" 1506.70165863387 1890.14470801183 2727.38983654279
"127" 1515.82913878747 1899.39585001659 2737.15050210912
"128" 1519.7480274277 1902.13518460959 2737.51704842513
"129" 1520.2832812315 1901.4680241771 2734.92348495806
"130" 1522.91134846515 1903.26418253514 2736.10941185522
"131" 1531.30798192914 1910.65241643027 2742.45809830883
"132" 1527.75968438438 1905.26746599259 2734.40943082162
"133" 1518.74864888626 1895.52476381408 2724.92280849972
"134" 1514.36983149873 1891.65831848051 2723.67921299044
"135" 1512.76493578896 1890.67892936758 2724.53763259897
"136" 1510.14789354621 1888.58048960904 2723.65607653758
"137" 1504.91421502453 1884.06933051754 2720.90086084535
"138" 1507.4932341224 1887.85256632104 2727.03801511962
"139" 1510.4581328475 1891.27755008696 2730.43701388568
"140" 1511.57955339701 1892.44443773788 2730.6572758625
"141" 1518.1413292278 1899.03919475799 2736.7349489797
"142" 1519.81528785372 1899.92961409023 2735.60191869572
"143" 1521.17123707861 1900.64272584977 2734.91431263891
